Time WAE YPH GZS RDG DRE CHI DIA GRN CAL ROT PB BB DL DR DC DIN RelWAE RelYPH RelGZS RelRDG RelDRE RelCHI RelDIA RelGRN RelCAL RelROT RelPB RelBB RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
1.600000e+02 30764.228751 3509.216034 35642.598139 82.440755 4821.681274 25.874617 8.550000 8.550000 349182.711586 34463.654800 8.550000 103.947214 743.081236 953.167779 0.000000 219197.989983 15.854766 1.538779 5.891761 2.404694 0.894501 0.216540 0.000176 0.000219 1.000582 1.028652 0.025000 1.000000 2.172752 1.000000 0.000000 1.831228 281.625656 0.343686 10.000000 0.000000 9198.626838 0.000000
1.650000e+02 31611.736374 3519.694699 39844.553041 88.600474 4803.439964 20.625566 8.550000 8.550000 340088.988199 33588.372094 8.550000 105.387239 752.592764 1016.306387 0.000000 225160.569558 16.291541 1.543374 6.586349 2.584365 0.891117 0.172611 0.000176 0.000219 0.974524 1.002527 0.025000 1.000000 2.200564 1.000000 0.000000 1.881041 280.156884 0.374754 10.000000 0.000000 9450.869158 0.000000
1.700000e+02 32483.026588 3528.397252 42488.085841 100.559725 4785.055571 16.299554 8.550000 8.550000 330785.143027 32699.221634 8.550000 106.873643 762.756872 1085.538842 0.000000 231272.610307 16.740572 1.547190 7.023328 2.933202 0.887707 0.136408 0.000176 0.000219 0.947864 0.975988 0.025000 1.000000 2.230283 1.000000 0.000000 1.932102 259.803694 0.393845 10.000000 0.000000 9708.502933 0.000000
1.750000e+02 33379.374062 3535.883513 43282.500838 112.366260 4766.601914 15.514536 8.550000 8.550000 328180.541420 32540.463168 8.550000 108.380775 769.500317 1119.103237 0.000000 234021.272797 17.202517 1.550473 7.154646 3.277584 0.884283 0.129838 0.000176 0.000219 0.940400 0.971249 0.025000 1.000000 2.250001 1.000000 0.000000 1.955065 237.492534 0.391366 10.000000 0.000000 9973.694845 0.000000
1.800000e+02 34302.119473 3542.748993 44110.616024 124.020142 4748.154745 14.716031 8.550000 8.550000 325387.285101 32362.294483 8.550000 109.846637 774.870782 1146.568348 0.000000 236723.115820 17.678067 1.553483 7.291534 3.617513 0.880861 0.123156 0.000176 0.000219 0.932396 0.965932 0.025000 1.000000 2.265704 1.000000 0.000000 1.977637 219.857233 0.389037 10.000000 0.000000 10246.846820 0.000000
1.850000e+02 35252.058256 3549.025860 44973.668059 135.497488 4729.712743 13.906750 8.550000 8.550000 322464.754938 32171.418353 8.550000 111.268176 780.314223 1174.820040 0.000000 239490.087536 18.167631 1.556236 7.434198 3.952293 0.877440 0.116383 0.000176 0.000219 0.924022 0.960234 0.025000 1.000000 2.281621 1.000000 0.000000 2.000753 205.668520 0.386855 10.000000 0.000000 10528.204496 0.000000
1.900000e+02 36230.013258 3554.752949 45872.807484 146.768531 4711.274269 13.089800 8.550000 8.550000 319410.584699 31967.551400 8.550000 112.653073 785.930234 1204.013157 0.000000 242329.927981 18.671633 1.558747 7.582826 4.281055 0.874019 0.109546 0.000176 0.000219 0.915270 0.954149 0.025000 1.000000 2.298042 1.000000 0.000000 2.024477 194.110577 0.384814 10.000000 0.000000 10818.023493 0.000000
1.950000e+02 37238.062453 3559.565239 46808.481804 150.721384 4692.832383 12.268655 8.550000 8.550000 316219.199838 31750.036247 8.550000 114.008486 791.720836 1234.215982 0.000000 245246.820633 19.191145 1.560857 7.737494 4.396355 0.870598 0.102674 0.000176 0.000219 0.906125 0.947657 0.025000 1.000000 2.314973 1.000000 0.000000 2.048846 193.276430 0.382901 10.000000 0.000000 11119.058998 0.000000
2.000000e+02 38278.805198 3563.058548 47780.508007 149.759062 4674.384457 11.447305 8.550000 8.550000 312885.165480 31518.216930 8.550000 115.340659 797.683789 1265.491137 0.000000 248244.484046 19.727506 1.562389 7.898171 4.368285 0.867176 0.095800 0.000176 0.000219 0.896571 0.940738 0.025000 1.000000 2.332409 1.000000 0.000000 2.073889 198.976380 0.381081 10.000000 0.000000 11431.369877 0.000000
2.050000e+02 39350.071949 3566.045055 48444.915085 148.688150 4655.946514 10.639682 8.550000 8.550000 309435.642858 31274.710784 8.550000 116.655004 803.803983 1297.758394 0.000000 251308.201328 20.279598 1.563698 8.007999 4.337048 0.863755 0.089041 0.000176 0.000219 0.886687 0.933470 0.025000 1.000000 2.350304 1.000000 0.000000 2.099484 204.276215 0.376709 10.000000 0.000000 11752.864635 0.000000
2.100000e+02 40452.514806 3568.336332 49120.841309 147.484199 4637.517027 9.857756 8.550000 8.550000 305899.312451 31022.295717 8.550000 117.955757 810.044022 1330.748642 0.000000 254419.085987 20.847757 1.564703 8.119730 4.301930 0.860336 0.082498 0.000176 0.000219 0.876553 0.925936 0.025000 1.000000 2.368550 1.000000 0.000000 2.125473 209.935861 0.372380 10.000000 0.000000 12083.746107 0.000000
2.150000e+02 41587.035473 3569.975545 49807.534421 146.149176 4619.095354 9.103096 8.550000 8.550000 302274.401445 30760.702725 8.550000 119.246276 816.395211 1364.470967 0.000000 257578.586496 21.432448 1.565422 8.233241 4.262989 0.856918 0.076182 0.000176 0.000219 0.866166 0.918128 0.025000 1.000000 2.387121 1.000000 0.000000 2.151868 215.977257 0.368087 10.000000 0.000000 12424.284038 0.000000
2.200000e+02 42754.559831 3571.013116 50504.054049 144.685845 4600.680820 8.377190 8.550000 8.550000 298559.660110 30489.714378 8.550000 120.529511 822.856648 1398.956232 0.000000 260788.157957 22.034147 1.565877 8.348377 4.220306 0.853502 0.070107 0.000176 0.000219 0.855522 0.910040 0.025000 1.000000 2.406014 1.000000 0.000000 2.178681 222.423286 0.363822 10.000000 0.000000 12774.755188 0.000000
2.250000e+02 43956.038221 3571.497411 51209.256464 143.097752 4582.272739 7.681429 8.550000 8.550000 294754.134237 30209.138105 8.550000 121.808113 829.428678 1434.235659 0.000000 264048.990001 22.653346 1.566089 8.464947 4.173983 0.850087 0.064284 0.000176 0.000219 0.844617 0.901665 0.025000 1.000000 2.425230 1.000000 0.000000 2.205923 229.297753 0.359576 10.000000 0.000000 13135.443413 0.000000
2.300000e+02 45192.445651 3571.484524 51921.780253 141.389225 4563.870399 7.017073 8.550000 8.550000 290857.177449 29918.807379 8.550000 123.084481 836.112270 1470.340215 0.000000 267362.130078 23.290545 1.566084 8.582728 4.124147 0.846673 0.058725 0.000176 0.000219 0.833450 0.893000 0.025000 1.000000 2.444773 1.000000 0.000000 2.233602 236.625362 0.355340 10.000000 0.000000 13506.639729 0.000000
2.350000e+02 46466.308589 3570.730692 52639.091430 139.532967 4545.461923 6.385202 8.550000 8.550000 286868.504881 29618.587349 8.550000 124.360808 842.908862 1507.300212 0.000000 270728.317222 23.947048 1.565753 8.701301 4.070003 0.843258 0.053437 0.000176 0.000219 0.822021 0.884039 0.025000 1.000000 2.464646 1.000000 0.000000 2.261724 244.477601 0.351092 10.000000 0.000000 13889.109774 0.000000
2.400000e+02 47778.745776 3569.316646 53359.203281 137.536892 4527.046405 5.786775 8.550000 8.550000 282788.333509 29308.389501 8.550000 125.639107 849.820134 1545.143815 0.000000 274148.110516 24.623430 1.565133 8.820336 4.011780 0.839842 0.048428 0.000176 0.000219 0.810329 0.874780 0.025000 1.000000 2.484854 1.000000 0.000000 2.290293 252.907867 0.346814 10.000000 0.000000 14283.186582 0.000000
2.450000e+02 49129.314232 3567.617887 54080.919936 135.440669 4508.634160 5.222547 8.550000 8.550000 278617.209614 28988.154700 8.550000 126.921240 856.848153 1583.898930 0.000000 277622.081609 25.319464 1.564388 8.939637 3.950635 0.836426 0.043706 0.000176 0.000219 0.798377 0.865222 0.025000 1.000000 2.505404 1.000000 0.000000 2.319316 261.876387 0.342516 10.000000 0.000000 14688.725452 0.000000
2.500000e+02 50519.316878 3553.844808 54803.471959 133.272462 4490.224536 4.694206 8.550000 8.550000 274364.964847 28658.788076 8.550000 128.208939 863.995363 1623.592901 0.000000 281150.622965 26.035821 1.558349 9.059075 3.887391 0.833011 0.039285 0.000176 0.000219 0.786192 0.855391 0.025000 1.000000 2.526302 1.000000 0.000000 2.348794 271.376410 0.338227 10.000000 0.000000 15106.108564 0.000000
2.550000e+02 51950.540764 3493.194674 55529.382371 131.096900 4471.824740 4.204828 8.550000 8.550000 270058.390624 28322.976148 8.550000 129.503837 871.265516 1664.262833 0.000000 284734.558101 26.773422 1.531754 9.179069 3.823933 0.829597 0.035189 0.000176 0.000219 0.773851 0.845368 0.025000 1.000000 2.547560 1.000000 0.000000 2.378735 281.165661 0.334248 10.000000 0.000000 15535.852314 0.000000
2.600000e+02 53423.218145 3433.719415 56249.772413 128.834995 4453.438375 3.749207 8.550000 8.550000 265662.869057 27976.983339 8.550000 130.807474 878.660550 1705.922558 0.000000 288372.954375 27.532387 1.505674 9.298150 3.757956 0.826186 0.031376 0.000176 0.000219 0.761256 0.835041 0.025000 1.000000 2.569183 1.000000 0.000000 2.409131 291.576432 0.330182 10.000000 0.000000 15978.050015 0.000000
2.650000e+02 54939.265063 3375.489813 56960.990584 126.483582 4435.058232 3.327198 8.550000 8.550000 261180.660729 27620.910518 8.550000 132.121292 886.182839 1748.592144 0.000000 292065.138842 28.313702 1.480141 9.415715 3.689368 0.822777 0.027845 0.000176 0.000219 0.748412 0.824413 0.025000 1.000000 2.591178 1.000000 0.000000 2.439976 302.659327 0.326015 10.000000 0.000000 16433.277058 0.000000
2.700000e+02 56489.390594 3303.342732 58173.417215 123.217503 4416.680319 2.898095 8.550000 8.550000 256165.080408 27207.252139 8.550000 133.446664 893.843974 1792.381682 0.000000 295823.692161 29.112580 1.448504 9.616131 3.594101 0.819367 0.024254 0.000176 0.000219 0.734040 0.812067 0.025000 1.000000 2.613579 1.000000 0.000000 2.471376 317.560322 0.324421 10.000000 0.000000 16898.995345 0.000000
2.750000e+02 58083.126637 3233.882196 59475.151800 119.921842 4398.311525 2.497799 8.550000 8.550000 250916.772217 26767.423399 8.550000 134.785584 901.716701 1837.931473 0.000000 299692.326630 29.933934 1.418046 9.831309 3.497971 0.815959 0.020904 0.000176 0.000219 0.719001 0.798939 0.025000 1.000000 2.636599 1.000000 0.000000 2.503695 334.053394 0.323404 10.000000 0.000000 17377.797255 0.000000
