Time Box WAE YPH GZS RDG DRE CHI DIA GRN CAL ROT PB BB DL DR DC
3.200000e+02 2 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 3 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 4 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 5 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 6 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 7 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 8 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 9 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.200000e+02 10 7.455149e+03 2.762191e+02 7.709779e+03 9.053536e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.897463e+04 2.118665e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.250000e+02 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.250000e+02 1 7.663103e+03 2.730350e+02 7.995456e+03 8.740527e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.809677e+04 2.032729e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.250000e+02 2 7.663103e+03 2.730350e+02 7.995456e+03 8.740527e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.809677e+04 2.032729e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.250000e+02 3 7.663103e+03 2.730350e+02 7.995456e+03 8.740527e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.809677e+04 2.032729e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.250000e+02 4 7.663103e+03 2.730350e+02 7.995456e+03 8.740527e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.809677e+04 2.032729e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
3.250000e+02 5 7.663103e+03 2.730350e+02 7.995456e+03 8.740527e+00 0.000000e+00 0.000000e+00 8.550000e-01 8.550000e-01 1.809677e+04 2.032729e+03 8.550000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
